Rating,Rating Since,Asset Class,Sub-Asset Class,Region,Industry Group,Issuer / Asset,Security / Details,ISIN,CIO View,Valor,MIC,Yahoo Ticker,As Of
SELL,2026-05-06 00:00:00,Equities,Foreign (Dev. Markets),Global,Materials,Albemarle Corp.,Registered Shares,US0126531013,Downgraded — prolonged lithium price weakness and oversupply; earnings visibility too low. Replace within Materials.,199805,XNYS,ALB,2026-05-12 00:00:00
BUY,2025-08-01 00:00:00,Equities,Foreign (Dev. Markets),Europa,Telecommunication,Deutsche Telekom AG,Registered Shares,DE0005557508,European telecom quality; T-Mobile US growth engine,1026592,XETR,DTE.DE,2026-05-12 00:00:00
BUY,2026-03-01 00:00:00,Equities,Foreign (Dev. Markets),Europa,Utilities,Enel SpA,Ordinary Shares,IT0003128367,Regulated utility with renewables leadership,1250633,MTAA,ENEL.MI,2026-05-12 00:00:00
HOLD,2025-12-26 00:00:00,Equities,Foreign (Dev. Markets),Europa,Utilities,Iberdrola S.A.,Registered Shares,ES0144580Y14,Earnings quality intact; awaiting a better entry point,2969533,XMAD,IBE.MC,2026-05-12 00:00:00
HOLD,2025-11-01 00:00:00,Equities,Foreign (Dev. Markets),USA,Utilities,NextEra Energy Inc.,Registered Shares,US65339F1012,Solid franchise; limited near-term catalysts,11363205,XNYS,NEE,2026-05-12 00:00:00
BUY,2025-12-18 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Government Bonds,Swiss Confederation,1.25% 27.06.2037 (CHF),CH0127181193,Core CHF duration anchor; benchmark-quality safety,12718119,XSWX,,2026-05-12 00:00:00
HOLD,2025-12-19 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Government Bonds,Swiss Confederation,0.50% 27.05.2030 (CHF),CH0224397171,Issuer fundamentals steady; maintain exposure,22439717,XSWX,,2026-05-12 00:00:00
HOLD,2025-08-09 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Government Bonds,Swiss Confederation,1.50% 30.04.2042 (CHF),CH0127181169,Spread fair for the rating; no action required,12718116,XSWX,,2026-05-12 00:00:00
HOLD,2025-11-02 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Government Bonds,Swiss Confederation,4.00% 06.01.2049 (CHF),CH0009755197,Attractive carry; duration within mandate limits,975519,XSWX,,2026-05-12 00:00:00
HOLD,2026-02-27 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Investment Grade,Eurofima,2.875% 04.02.2030 (CHF),CH0020469075,Credit metrics stable; hold to maturity,2046907,XSWX,,2026-05-12 00:00:00
HOLD,2026-01-01 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Investment Grade,Kanton Zürich,1.30% 24.06.2037 (CHF),CH1346743052,Stable rating outlook; keep the allocation,134674305,XSWX,,2026-05-12 00:00:00
HOLD,2025-12-17 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Investment Grade,Nestlé S.A.,2.125% 15.07.2030 (CHF),CH1194355116,Curve positioning appropriate; no change,119435511,XSWX,,2026-05-12 00:00:00
HOLD,2025-10-14 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Investment Grade,Pfandbriefbank,1.00% 12.04.2029 (CHF),CH0419041212,Yield adequate; no relative-value switch available,41904121,XSWX,,2026-05-12 00:00:00
HOLD,2025-07-20 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Investment Grade,Swisscom AG,0.25% 18.05.2033 (CHF),CH1112455766,Solid coupon capture; maintain position,111245576,XSWX,,2026-05-12 00:00:00
HOLD,2025-11-27 00:00:00,Fixed Income,Domestic Bonds (CHF),Schweiz,Investment Grade,ZKB Bond,0.75% 27.01.2032 (CHF),CH1498422984,Attractive carry; duration within mandate limits,149842298,XSWX,,2026-05-12 00:00:00
HOLD,2025-07-29 00:00:00,Fixed Income,Emerging Market Bonds,Emerging M.,Government Bonds,Federative Republic of Brazil,5.625% 21.02.2047,US105756BY51,Issuer fundamentals steady; maintain exposure,33393607,ETLX,,2026-05-12 00:00:00
HOLD,2025-08-03 00:00:00,Fixed Income,Emerging Market Bonds,Emerging M.,Government Bonds,Kingdom of Saudi Arabia,4.50% 26.10.2046 (USD),XS1508675508,Curve positioning appropriate; no change,34357187,ETLX,,2026-05-12 00:00:00
HOLD,2025-11-03 00:00:00,Fixed Income,Emerging Market Bonds,Emerging M.,Government Bonds,Republic of Indonesia,5.25% 17.01.2042,USY20721BB49,Yield adequate; no relative-value switch available,14711996,,,2026-05-12 00:00:00
HOLD,2025-07-29 00:00:00,Fixed Income,Emerging Market Bonds,Emerging M.,Government Bonds,Republic of South Africa,5.75% 30.09.2049,US836205BB97,Curve positioning appropriate; no change,50235648,,,2026-05-12 00:00:00
HOLD,2025-12-19 00:00:00,Fixed Income,Emerging Market Bonds,Emerging M.,Government Bonds,United Mexican States,5.75% 12.10.2110,US91086QAZ19,Stable rating outlook; keep the allocation,11853373,ETLX,,2026-05-12 00:00:00
HOLD,2026-01-03 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Government Bonds,France OAT,2.75% 25.02.2030 (EUR),FR001400PM68,Stable rating outlook; keep the allocation,134595592,FMTS,,2026-05-12 00:00:00
HOLD,2025-10-05 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Government Bonds,France OAT,3.25% 25.05.2045 (EUR),FR0011461037,Solid coupon capture; maintain position,21046078,FMTS,,2026-05-12 00:00:00
HOLD,2025-10-24 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Government Bonds,Germany Bund,2.30% 15.02.2033 (EUR),DE000BU3Z005,Yield adequate; no relative-value switch available,126652249,MCAD,,2026-05-12 00:00:00
HOLD,2025-08-13 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Government Bonds,Germany Bund,2.60% 15.08.2034 (EUR),DE000BU2Z031,Issuer fundamentals steady; maintain exposure,136370237,MCAD,,2026-05-12 00:00:00
HOLD,2025-12-23 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Government Bonds,Germany Bund,3.25% 04.07.2042 (EUR),DE0001135432,Credit metrics stable; hold to maturity,11530565,XQOD,,2026-05-12 00:00:00
HOLD,2025-09-14 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Government Bonds,US Treasury,4.125% 31.10.2026 (USD),US91282CLS88,Credit metrics stable; hold to maturity,139263890,XMUN,,2026-05-12 00:00:00
HOLD,2026-02-09 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Government Bonds,US Treasury,4.250% 15.11.2034 (USD),US91282CLW90,Spread fair for the rating; no action required,139442504,ETLX,,2026-05-12 00:00:00
HOLD,2025-08-30 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Government Bonds,US Treasury,4.750% 15.11.2053 (USD),US912810TV08,Attractive carry; duration within mandate limits,130563314,ETLX,,2026-05-12 00:00:00
HOLD,2025-08-06 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Government Bonds,Vanguard USD Treasury,UCITS ETF EUR Hedged (Acc),IE00BMX0B631,Credit metrics stable; hold to maturity,56312229,XETR,,2026-05-12 00:00:00
HOLD,2026-01-12 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Government Bonds,iShares USD Treas. ETF,7-10y CHF-Hedged UCITS ETF (Acc),IE00BK7Y2R57,Attractive carry; duration within mandate limits,48370001,XSWX,,2026-05-12 00:00:00
HOLD,2026-02-13 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Investment Grade,Apple Inc.,3.00% 20.06.2027 (USD),US037833CX61,Spread fair for the rating; no action required,37141564,FINR,,2026-05-12 00:00:00
HOLD,2025-10-11 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Investment Grade,BASF SE,4.50% 08.03.2035 (EUR),XS2595418679,Attractive carry; duration within mandate limits,125474294,,,2026-05-12 00:00:00
HOLD,2025-12-13 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Investment Grade,Coca-Cola Co.,2.25% 05.01.2032 (USD),US191216DP21,Yield adequate; no relative-value switch available,111357776,FINR,,2026-05-12 00:00:00
HOLD,2025-12-10 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Investment Grade,Deutsche Telekom,1.75% 25.03.2031 (EUR),DE000A2TSDE2,Spread fair for the rating; no action required,46877468,TGAT,,2026-05-12 00:00:00
HOLD,2025-10-31 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Investment Grade,Johnson & Johnson,3.40% 15.01.2038 (USD),US478160CL64,Solid coupon capture; maintain position,39086040,FINR,,2026-05-12 00:00:00
HOLD,2025-09-07 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Investment Grade,Microsoft Corp.,3.125% 06.12.2028 (EUR),XS1001749289,Solid coupon capture; maintain position,23056711,XQOD,,2026-05-12 00:00:00
HOLD,2026-01-04 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Investment Grade,Sanofi S.A.,0.875% 21.03.2029 (EUR),FR0013409844,Curve positioning appropriate; no change,46925911,,,2026-05-12 00:00:00
HOLD,2025-11-09 00:00:00,Fixed Income,Foreign Bonds (G7),Europa,Investment Grade,Siemens Fin.,0.50% 20.02.2032 (EUR),XS2118273601,Stable rating outlook; keep the allocation,52558720,,,2026-05-12 00:00:00
HOLD,2025-11-10 00:00:00,Fixed Income,Foreign Bonds (G7),USA,Investment Grade,Walmart Inc.,3.70% 26.06.2028 (USD),US931142EE96,Issuer fundamentals steady; maintain exposure,42386430,FINR,,2026-05-12 00:00:00
HOLD,2025-10-04 00:00:00,Real Estate,Global Listed REITs,USA,Real Estate (REIT),Digital Realty Trust,Data Center REIT Shares,US2538681030,Portfolio quality solid; rate sensitivity priced,1923171,XNYS,,2026-05-12 00:00:00
HOLD,2025-11-25 00:00:00,Real Estate,Global Listed REITs,USA,Real Estate (REIT),Equinix Inc.,Data Center Real Estate Shares,US29444U7000,Steady rental growth; maintain exposure,26875198,XNAS,,2026-05-12 00:00:00
HOLD,2025-10-02 00:00:00,Real Estate,Global Listed REITs,USA,Real Estate (REIT),Prologis Inc.,Logistics Real Estate Shares,US74340W1036,Occupancy and rents stable; income profile intact,13090717,XNYS,,2026-05-12 00:00:00
HOLD,2025-11-08 00:00:00,Real Estate,Global Listed REITs,USA,Real Estate (REIT),Welltower Inc.,Healthcare Real Estate Shares,US95040Q1040,NAV discount fair; distribution well covered,29816226,XNYS,,2026-05-12 00:00:00
HOLD,2025-12-04 00:00:00,Real Estate,Swiss Real Estate,Schweiz,Real Estate (Fund),UBS (CH) Property Fund,Swiss Mixed «Sima» (CHF),CH0014420878,NAV discount fair; distribution well covered,1442087,XSWX,,2026-05-12 00:00:00
HOLD,2025-12-25 00:00:00,Real Estate,Swiss Real Estate,Schweiz,Real Estate (Fund),UBS (CH) Real Estate Fund Interswiss,Swiss Commercial / Residential (CHF),CH0002769351,Occupancy and rents stable; income profile intact,276935,XSWX,,2026-05-12 00:00:00
BUY,2025-07-17 00:00:00,Alternatives,Commodities / Gold,Global,Precious Metals,iShares Physical Gold,ETC (CHF),IE00B4ND3602,Strategic portfolio hedge; allocation underpinned by CIO macro view,12881542,XLON,,2026-05-12 00:00:00
HOLD,2025-11-01 00:00:00,Alternatives,Commodities / Gold,Global,Precious Metals,ZKB Gold ETF,Class A (CHF) (Gold-Fonds),CH0047533523,Strategic diversifier; allocation per CIO macro view,4753352,XSWX,,2026-05-12 00:00:00
HOLD,2025-11-26 00:00:00,Alternatives,Cryptocurrencies,Global,Digital Assets,21Shares Bitcoin ETP,Physical Bitcoin (CHF),CH0454664001,Execution vehicle for the mandate's crypto allocation; not a rated conviction,45466400,XETR,,2026-05-12 00:00:00
HOLD,2025-09-24 00:00:00,Alternatives,Cryptocurrencies,Global,Digital Assets,21Shares Ethereum ETP,Physical Ethereum (CHF),CH0454664027,Execution vehicle for the mandate's crypto allocation; not a rated conviction,45466402,XETR,,2026-05-12 00:00:00
HOLD,2025-10-12 00:00:00,Alternatives,Private Markets,Global,Private Markets,Partners Group Listed Investments - Listed PE,SICAV EUR (P-Acc.) (PE-Fonds),LU0196152788,Liquidity terms acceptable; hold current commitment,1902991,TGAT,,2026-05-12 00:00:00
HOLD,2025-12-14 00:00:00,Alternatives,Private Markets,Global,Private Markets,iShares Listed Private Eq,UCITS ETF USD,IE00B1TXHL60,Uncorrelated return profile; maintain weighting,3007862,XETR,,2026-05-12 00:00:00
